Datetime,Polarity
01/12/2019,-0.4201
06/05/2020,0
24/11/2020,-0.5994
08/02/2020,0
01/12/2020,0.3272
01/06/2020,0
15/12/2019,0
02/02/2020,-0.4404
12/03/2020,-0.5647
21/06/2020,-0.4215
05/12/2020,-0.5057
14/04/2020,0
22/06/2020,-0.5859
17/09/2020,0
13/04/2020,0.34
16/01/2020,0.3182
20/07/2020,0.091
22/06/2020,-0.6369
16/07/2020,0.34
16/07/2020,0.34
12/06/2020,-0.4019
28/04/2020,-0.25
09/04/2020,-0.8481
09/06/2020,0
26/03/2020,0.4588
28/02/2020,0
07/04/2020,0.4215
09/10/2020,-0.1531
14/04/2020,0
20/02/2020,-0.5423
21/03/2020,0.504
03/09/2020,-0.7926
16/06/2020,0
23/01/2020,-0.0772
19/04/2020,0.886
10/06/2020,0.8377
06/05/2020,-0.7906
06/05/2020,0
16/07/2020,-0.7783
04/12/2020,-0.1531
26/11/2020,-0.3612
28/07/2020,0.2244
28/07/2020,0.128
28/03/2020,0.3612
04/12/2020,0.34
13/02/2020,0.1531
08/03/2020,-0.5859
25/07/2020,0.4003
20/04/2020,-0.5994
29/08/2020,0
15/05/2020,0
25/11/2020,0.6369
03/08/2020,0.6369
06/05/2020,0
15/08/2020,-0.6908
27/08/2020,0.5574
10/07/2020,-0.9109
22/02/2020,-0.6369
14/05/2020,-0.593
12/06/2020,0.3182
20/03/2020,0
21/07/2020,0.34
18/08/2020,0
05/02/2020,0.6124
04/01/2020,-0.5719
08/04/2020,-0.4404
23/07/2020,-0.6705
23/04/2020,-0.6662
01/09/2020,-0.6739
13/02/2020,-0.5848
15/11/2020,0
10/10/2020,-0.5667
10/09/2020,0
01/05/2020,-0.6249
27/07/2020,0.2144
12/05/2020,0.34
23/09/2020,-0.2755
28/04/2020,0.1531
02/04/2020,0.25
08/10/2020,-0.5023
22/02/2020,0.34
22/02/2020,0
25/08/2020,0.6124
24/04/2020,0.2732
01/10/2020,-0.5423
01/08/2020,-0.2869
05/09/2020,0.4118
16/10/2020,-0.2732
08/03/2020,-0.2062
08/01/2020,-0.3612
06/06/2020,0.3666
28/01/2020,0.3818
13/07/2020,-0.6249
28/08/2020,0.2023
06/04/2020,-0.4404
01/09/2020,-0.3412
03/12/2020,-0.8588
05/04/2020,0.296
