Datetime,Tweet Id,Text,Username,textclean,Polarity,Sentiment
15/12/2019,1.21E+18,Ptcl ka net isliye khrab koi machli taar kha gayi heu,__SMAS__,Ptcl ka net is liye khrab koi machli taar kha gayi heu,0,Neutral
27/12/2019,1.21E+18,"  Dear PTCL, I dont want to break the contract but your poor service forces me to do so. Please check my history of complaints. Every month at least 15 days Wifi is down. BR",5281311,"  Dear PTCL, I dont want to break the contract but your poor service forces me to do so. Please check my history of complaints. Every month at least 15 days Wifi is down. ",-0.4201,Unsatisfied
04/01/2020,1.21E+18,"3. And finally our finance minister sorry SAPM of Finance whose sole achievement before this stint was bungled privatization of PTCL.3A. despite the fact UAE owes us $800M for it, lying down in front of them for the $200M they are sending our way ",2paisay,"3. And finally our finance minister sorry SAPM of Finance whose sole achievement before this stint was bungled privatization of PTCL.3A. despite the fact UAE owes us $800M for it, lying down in front of them for the $200M they are sending our way ",-0.5719,Negative
08/01/2020,1.21E+18,__raima Ptcl alwaya sucks,Aadymemon,__raima Ptcl alwaya sucks,-0.3612,Negative
16/01/2020,1.22E+18, jazz 4g ka speed test at Samnabad multan road lahore. First time in my life I've seen uploading speed &gt; downloading speed. Itni to ptcl bhi nahi deta.5g ki trf Jana acha hai Lakin Please pehly 4g py downloading speed thk kr Lyn.#Jazz4g #JazzSuper4G #duniyakobatado ,_Ayyaz_Sheikh, jazz 4g ka speed test at Samnabad multan road lahore. First time in my life I've seen uploading speed &gt; downloading speed. Itni to ptcl bhi nahi deta.5g ki trf Jana acha hai Lakin Please pehly 4g py downloading speed thk kr Lyn.#Jazz4g #JazzSuper4G #duniyakobatado ,0.3182,Positive
23/01/2020,1.22E+18, Ok then Ptcl sucks.. Nvm ,_NotYourCoffee, Ok then Ptcl sucks.. Nvm ,-0.0772,Negative
28/01/2020,1.22E+18,_ Gobar kay bachay PTCL walay (I have Nayatel I am just trying to promote this gali),aaloo_logic,_ Gobar kay bachay PTCL walay (I have Nayatel I am just trying to promote this gali),0.3818,Positive
02/02/2020,1.22E+18,Ptcl truly sucks...Kabhi sahi sy net nai ata annoyingg,__SOPELOVER,Ptcl truly sucks...Kabhi sahi sy net nai ata annoyingg,-0.4404,Unsatisfied
05/02/2020,1.23E+18,"Bus ab Abdul Hafeez Shaikh PTCL ki shaandaar privatization ke baad, bachay khuchay assets ki privatization say hi ""investors ka government ki economy policy mein confidence"" show karaye ga.",2paisay,"Bus ab Abdul Hafeez Shaikh PTCL ki shaandaar privatization ke baad, bachay khuchay assets ki privatization say hi ""investors ka government ki economy policy mein confidence"" show karaye ga.",0.6124,Positive
08/02/2020,1.23E+18,"Log Barish mein Pakoray  Khaaty hain.Aur Ptcl wle Galiyan.Jani idhr 8Mbs Connection Hai, download speed 0.22mbsUpload speed 0.12 mbsPings 380ms ",__EVENFALL__,"Log Barish mein Pakoray  Khaaty hain.Aur Ptcl wle Galiyan.Jani idhr 8Mbs Connection Hai, download speed 0.22mbsUpload speed 0.12 mbsPings 380ms ",0,Neutral
13/02/2020,1.23E+18,_LeonGids Its way faster than mine too mine is 7 mbps download and 700 kbps of upload in Pakistan btw the internet is PTCL make sure to give hate to them :),_talha15,_LeonGids Its way faster than mine too mine is 7 mbps download and 700 kbps of upload in Pakistan btw the internet is PTCL make sure to give hate to them :),0.1531,Positive
13/02/2020,1.23E+18," Hello PTCL jani...! yar kya masla hei internet ko 2,2 minutes bad ata hei aur chala jata hei.",50___Tola," Hello PTCL jani...! yar kya masla hei internet ko 2,2 minutes bad ata hei aur chala jata hei.",-0.5848,Negative
20/02/2020,1.23E+18,_badar83 __Ali Wesy PTCL ki tagline Fuck the Future honi chahiye thiKhayr mazri unki ,_Jiya_Saif,_badar83 __Ali Wesy PTCL ki tagline Fuck the Future honi chahiye thiKhayr mazri unki ,-0.5423,Negative
22/02/2020,1.23E+18,"_Here    Kia kraien hmara ptcl bh Kamran akmal ki trah hai,, domestic mn achaw chalta hai, international mn zero ho jata hai.. ",1usmanhaider,"_Here    Kia kraien hmara ptcl bh Kamran akmal ki trah hai,, domestic mn achaw chalta hai, international mn zero ho jata hai.. ",-0.6369,Negative
22/02/2020,1.23E+18,_e_adam _federer I am talking about 4g devices. Line wala ptcl farigh he hai. Nayatel sabsay acha ha isb me,9Younas,_e_adam _federer I am talking about 4g devices. Line wala ptcl farigh he hai. Nayatel sabsay acha ha isb me,0.34,Positive
22/02/2020,1.23E+18,_federer We use jazz and ptcl chargee in office. Ptcl chargee is very good.Nayatel at home but i don't think it's available in khi,9Younas,_federer We use jazz and ptcl chargee in office. Ptcl chargee is very good.Nayatel at home but i don't think it's available in khi,0,Neutral
28/02/2020,1.23E+18,"I messaged a PTCL customer service agent through live-chat and asked him why the internet was down, and my man literally said that he's been using Telenor 4G the entire morning because PTCL's servers were down. ",_HuzaifaKhan,"I messaged a PTCL customer service agent through live-chat and asked him why the internet was down, and my man literally said that he's been using Telenor 4G the entire morning because PTCL's servers were down. ",0,Neutral
08/03/2020,1.24E+18, PTCL jani wtf?,_tera_banda, PTCL jani wtf?,-0.5859,Negative
08/03/2020,1.24E+18,"__A000A__ Ptcl CharJi Evo cloud., can carry it anywhere and it's support upto 10 gadgets at a time when you make it hotspot. If can afford (Price 2500+Monthly package cost) then buy and use it. Sim networks are not good as like CharJi Evo cloud.",aabbaasi,"__A000A__ Ptcl CharJi Evo cloud., can carry it anywhere and it's support upto 10 gadgets at a time when you make it hotspot. If can afford (Price 2500+Monthly package cost) then buy and use it. Sim networks are not good as like CharJi Evo cloud.",-0.2062,Negative
12/03/2020,1.24E+18,I mean this in the nicest way possible but fuck you ptcl.,_02amal,I mean this in the nicest way possible but fuck you ptcl.,-0.5647,Negative
20/03/2020,1.24E+18,Don't electric water and telephone fall under the essential services? Can understand shutting down govt offices but why PTCL offices closed.,29shiraz,Don't electric water and telephone fall under the essential services? Can understand shutting down govt offices but why PTCL offices closed.,0,Neutral
21/03/2020,1.24E+18,Has anyone of you used PTCL charji internet device ? Is it good ?,_KashifK,Has anyone of you used PTCL charji internet device ? Is it good ?,0.504,Positive
26/03/2020,1.24E+18,Seems like corona test of PTCL has come positive. Service got worse than before.,_heretorant,Seems like corona test of PTCL has come positive. Service got worse than before.,0.4588,Positive
28/03/2020,1.24E+18, Ptcl ko goodbye bol do. You'll thank me later ,_Shurikenjutsu_, Ptcl ko goodbye bol do. You'll thank me later ,0.3612,Positive
02/04/2020,1.25E+18, Ptcl he ha mery pass aik season start karta hu next laga daita hun Idk when was last time i shutdown my laptop,97abdulmuiz, Ptcl he ha mery pass aik season start karta hu next laga daita hun Idk when was last time i shutdown my laptop,0.25,Positive
05/04/2020,1.25E+18,Bachpan ma itna dial kiya ye number k ptcl ka bill ma is k ilawa koi number hi ni hota tha aur acha khasa bill a jata tha ,_aliabbass,Bachpan ma itna dial kiya ye number k ptcl ka bill ma is k ilawa koi number hi ni hota tha aur acha khasa bill a jata tha ,0.1531,Positive
05/04/2020,1.25E+18,PTCL join hands with Gulberg Greens for provision of ICT services #News #DigitalMarketing #Tech #Pakistan #Karachi #Lahore #Islamabad #SEO #ContentCreators #SocialMediaMarketer #AamirJavedAwan,AamirJavedAwan,PTCL join hands with Gulberg Greens for provision of ICT services #News #DigitalMarketing #Tech #Pakistan #Karachi #Lahore #Islamabad #SEO #ContentCreators #SocialMediaMarketer #AamirJavedAwan,0.296,Positive
06/04/2020,1.25E+18, acting up from the last twenty four hours now. PTCL internet sucks. Big time. Try to pay heed to your customers.,aaminsann, acting up from the last twenty four hours now. PTCL internet sucks. Big time. Try to pay heed to your customers.,-0.4404,Negative
07/04/2020,1.25E+18,Yeh BC PTCL ko kya ho gya hai. Subha ka True Detective he nahi download ho raha..,_iamthelegend_,Yeh BC PTCL ko kya ho gya hai. Subha ka True Detective he nahi download ho raha..,0.4215,Positive
08/04/2020,1.25E+18,  Ptcl also suck in pakistan I can tell you that its not just ajk.,47unasahmed,  Ptcl also suck in pakistan I can tell you that its not just ajk.,-0.4404,Negative
09/04/2020,1.25E+18," the country's shittiest telecom and ict services provider, everytime i complain about online gaming lag a guy sitting in ur office ,who knows nothing about latency,routing and stuff, tells me that lag is from the game's end .nice bs ptcl ka tou fault ho hi nhn skta game khrb ha",_Farhadali," the country's shittiest telecom and ict services provider, everytime i complain about online gaming lag a guy sitting in ur office ,who knows nothing about latency,routing and stuff, tells me that lag is from the game's end .nice bs ptcl ka tou fault ho hi nhn skta game khrb ha",-0.8481,Negative
13/04/2020,1.25E+18,Kabhi kabhi Ptcl walay bht heran kr dety ha.... 1 mb/s ki speed sa downloading ho rhi ha,_ascendare,Kabhi kabhi Ptcl walay bht heran kr dety ha.... 1 mb/s ki speed sa downloading ho rhi ha,0.34,Positive
14/04/2020,1.25E+18,Ye zara se badal kya baras jayein 2 idaron ki mout waqai ho jati hai#1 PTCL#2 WAPDA,_aliabbass,Ye zara se badal kya baras jayein 2 idaron ki mout waqai ho jati hai#1 PTCL#2 WAPDA,0,Neutral
14/04/2020,1.25E+18,PTCL internet is down?,_iMoiz,PTCL internet is down?,0,Neutral
19/04/2020,1.25E+18," Mera 2 mbps ka bill 2700 aya tha phir utar wadiya, i think _eeh can help you better regarding ptcl, let's hope soo she is good mood ",_OnlyPakistan," Mera 2 mbps ka bill 2700 aya tha phir utar wadiya, i think _eeh can help you better regarding ptcl, let's hope soo she is good mood ",0.886,Positive
